,Line name,Activity,0,6,11,15,20,25,30,35,40,45,50,55,60,116,151
0,#01_r0,0.0054250887901738645,0.132,0.162,0.189,0.214,0.241,0.268,0.297,0.323,0.352,0.377,0.403,0.429,0.454,,
1,#01_r1,0.005470604462374471,0.135,0.165,0.191,0.216,0.244,0.271,0.3,0.327,0.355,0.381,0.408,0.434,0.459,,
2,#01_r2,0.005532602321888791,0.138,0.168,0.196,0.221,0.25,0.277,0.306,0.333,0.362,0.388,0.414,0.441,0.466,,
3,#02_r0,4.1251653161869854e-05,0.066,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.071,0.072
4,#02_r1,3.66869783376127e-05,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.066,0.066,0.067,0.067,0.067,0.067,0.069,0.07
5,#02_r2,2.4940363565981423e-05,0.066,0.067,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.068,0.068,0.068,0.07,0.071
6,#05_r0,0.0002572384710201701,0.063,0.065,0.066,0.067,0.068,0.07,0.071,0.072,0.073,0.075,0.076,0.077,0.079,0.093,0.102
7,#05_r1,0.000256178562144473,0.063,0.064,0.065,0.066,0.067,0.068,0.07,0.071,0.072,0.074,0.075,0.076,0.078,0.092,0.101
8,#05_r2,0.00026798736023598185,0.064,0.065,0.066,0.068,0.069,0.071,0.073,0.074,0.076,0.077,0.078,0.079,0.081,0.095,0.104
9,#08_r0,0.00018850267389620314,0.067,0.068,0.068,0.069,0.07,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.088,0.095
10,#08_r1,0.00019876541811513735,0.064,0.065,0.066,0.067,0.068,0.069,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.087,0.094
11,#08_r2,0.00019112559490796566,0.064,0.064,0.065,0.066,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.085,0.092
12,#12_r0,8.073396582830048e-05,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.068,0.072,0.075
13,#12_r1,0.00010588631003537118,0.063,0.064,0.064,0.064,0.065,0.065,0.066,0.067,0.067,0.068,0.068,0.069,0.069,0.075,0.079
14,#12_r2,9.142067361325525e-05,0.063,0.063,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.067,0.068,0.068,0.069,0.074,0.077
15,#19_r0,8.275767178298563e-06,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.063,0.063
16,#19_r1,7.594600717745797e-06,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.065
17,#19_r2,1.2461701749808343e-05,0.065,0.065,0.065,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.067,0.067
18,#22_r0,5.1214783858886916e-06,0.063,0.065,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
19,#22_r1,1.436953573723171e-05,0.062,0.062,0.062,0.062,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064
