str_idx,pro_idx,sec_idx,gen_idx,Line Name,Activity
2,6,16,22,#01,0.8291314063610525
4,11,18,19,#02,0.3330635459129989
1,5,16,19,#03,0.8711421359546625
1,11,18,19,#04,0.9371577743690427
3,8,16,22,#05,0.054991065129139316
2,11,17,19,#06,0.17069751765120988
4,8,17,22,#07,0.014749229710811163
3,8,15,22,#08,0.3879551550115963
4,11,15,22,#09,0.8230840475208487
2,8,16,22,#10,0.8441384934663687
2,5,15,21,#11,0.13351909160305386
3,11,15,19,#12,0.4533498577569125
4,13,16,22,#13,0.31824905375100365
1,14,16,20,#14,0.9938941819742513
1,6,18,19,#15,0.30051648862535574
2,13,15,21,#16,0.7047816387014869
4,7,18,19,#17,0.18142746413450173
1,13,18,20,#18,0.38714888953071747
3,7,15,21,#19,0.36239839826781506
1,11,18,20,#20,0.24172016206830726
2,10,16,22,#21,0.03407001891901906
2,14,16,20,#22,0.6830665511219616
2,12,17,21,#23,0.9793203576573917
2,7,18,21,#24,0.5433452172314849
3,10,15,20,#25,0.6298110740624075
1,8,16,21,#26,0.4500578788541838
1,11,15,22,#27,0.09332332125414078
2,7,16,20,#28,0.4215085382937379
4,9,16,21,#29,0.6909131328078766
4,5,18,20,#30,0.6167474597105584
2,6,18,20,#31,0.7501377501709151
3,9,17,20,#32,0.20989107474132607
4,14,16,22,#33,0.9217027232155065
1,7,16,21,#34,0.4641055123586376
1,10,17,21,#35,0.017936262348053567
1,5,16,20,#36,0.6540573143946428
4,9,16,22,#37,0.4288301409690518
3,12,16,22,#38,0.3675438846376041
4,7,16,21,#39,0.1650243007450729
4,7,17,21,#40,0.7625302909932186
4,8,15,20,#41,0.5412444211921864
1,9,16,21,#42,0.8504060457211192
4,9,17,19,#43,0.09074873467935496
2,12,18,21,#44,0.6025246578138744
3,10,16,21,#45,0.015370008637292654
2,5,18,21,#46,0.26598815538343057
2,6,15,19,#47,0.7340563061053581
3,12,17,20,#48,0.7371042975140991
4,13,15,19,#49,0.7960584971173469
2,6,17,20,#50,0.3924846589374342
1,11,17,21,#51,0.690599950492628
2,10,16,20,#52,0.5354017281902197
4,8,15,19,#53,0.3155690614000882
4,9,18,22,#54,0.481920864090831
2,9,16,21,#55,0.7046627386468097
3,10,15,21,#56,0.861056397103367
4,8,17,21,#57,0.9968404112943351
3,12,15,19,#58,0.9255460386172434
2,8,18,20,#59,0.17854153434967845
4,14,15,22,#60,0.41639913017736374
4,14,17,20,#61,0.6714706818577264
4,13,16,20,#62,0.9583803836920403
1,12,16,21,#63,0.6697984057587473
4,6,18,19,#64,0.714480066473207
